 LONGITUDE, LATITUDE, WELL_DEPTH, STATIC_DEPTH
-100.577926,37.523036,325,193
-100.600925,37.686718,325,194
-100.3815,37.835503,326,155
-100.379222,37.835498,330,158
-100.477047,37.88105,330,131
-100.52352,37.65049,330,
-100.639469,37.568485,330,159
-100.559798,37.553888,330,100
-100.518962,37.659446,330,161
-100.3815,37.835503,330,150
-100.59356,37.75119,330,191
-100.556172,37.638679,330,126
-100.3242,37.4854,332,165
-100.22152,37.4834,333,113
-100.583651,37.565747,334,89
-100.56204,37.672299,335,151
-100.505266,37.575886,335,150
-100.625855,37.684884,335,193
-100.502721,37.688581,335,182
-100.519001,37.635908,335,138
-100.510984,37.631306,335,135
-100.611576,37.775704,335,68
-100.55972,37.666837,340,162
-100.567791,37.601234,340,152
-100.321199,37.492165,340,
-100.63946,37.584816,340,175
-100.555139,37.668691,343,122
-100.523503,37.654073,345,142
-100.600209,37.775679,345,99
-100.598108,37.757615,349,170
-100.57345,37.595789,350,123
-100.571122,37.517576,352,190
-100.51888,37.603159,352,120
-100.548255,37.67607,353,133
-100.566569,37.659523,353,109
-100.525763,37.652281,355,99
-100.536995,37.608622,355,180
-100.5962,37.513905,355,210
-100.571153,37.657685,355,181
-100.532504,37.643201,358,120
-100.580366,37.674002,360,123
-100.603041,37.504815,360,196
-100.591793,37.677634,360,200
-100.60986,37.59754,360,178
-100.658446,37.943607,363,143
-100.555155,37.674179,363,86
-100.561945,37.495707,365,171
-100.618899,37.477559,365,142
-100.600879,37.672149,365,180
-100.60999,37.68494,367,205
-100.556332,37.514834,368,111
-100.564302,37.51575,370,123
-100.575641,37.52848,370,204
-100.536961,37.650434,370,150
-100.557415,37.615916,372,136
-100.523563,37.617706,373,167
-100.616675,37.537554,375,145
-100.63268,37.52118,375,252
-100.601918,37.602088,375,142
-100.650859,37.541208,380,162
-100.614501,37.675848,380,203
-100.545965,37.641377,380,246
-100.628058,37.557567,380,227
-100.568853,37.655883,380,283
-100.60764,37.60479,380,190
-100.561931,37.62141,381,131
-100.530272,37.614085,382,145
-100.600782,37.652088,383,140
-100.541525,37.510249,384,131
-100.571083,37.641313,388,231
-100.591681,37.628432,388,165
-100.60523,37.488411,388,152
-100.582574,37.64672,388,203
-100.577993,37.615767,390,161
-100.509654,37.499349,390,125
-100.65084,37.546667,390,238
-100.605293,37.524813,390,215
-100.55511,37.495692,390,204
-100.61451,37.681324,391,210
-100.523458,37.513933,393,191
-100.594011,37.662108,394,124
-100.650781,37.598369,394,142
-100.621266,37.65933,395,136
-100.641718,37.550304,395,165
-100.551627,37.636865,395,170
-100.593958,37.604822,395,196
-100.632633,37.672049,396,197
-100.632645,37.679359,396,228
-100.505041,37.484781,397,143
-100.641678,37.602928,397,116
-100.632664,37.513885,400,159
-100.641733,37.648304,400,216
-100.621187,37.570297,402,211
-100.623542,37.655668,403,181
-100.575734,37.604835,405,170
-100.625823,37.670272,405,220
-100.514181,37.490232,405,232
-100.534648,37.488388,408,205
-100.5931,37.5802,408,147
-100.559606,37.626876,408,121
-100.593958,37.652116,410,124
-100.612112,37.535735,410,155
-100.603049,37.646615,410,185
-100.650836,37.581177,410,205
-100.587174,37.663045,411,168
-100.605303,37.519352,415,240
-100.596123,37.488399,419,225
-100.641686,37.661036,420,219
-100.614435,37.652063,420,242
-100.589404,37.502988,420,246
-100.593959,37.502991,420,250
-100.621261,37.52299,424,165
-100.638338,37.703853,425,132
-100.63714,37.60294,425,122
-100.637179,37.655598,426,175
-100.523345,37.482962,428,235
-100.623599,37.695806,430,128
-100.64736,37.656462,431,224
-100.650902,37.530287,440,286
-100.628094,37.655644,442,183
-100.623565,37.642899,443,143
-100.617888,37.636527,446,156
-100.605341,37.639305,450,158
-100.567691,37.475702,450,157
-100.609932,37.613831,452,187
-100.605273,37.497523,453,160
-100.42544,37.621463,455,206
-100.641645,37.728244,461,110
-100.386883,37.627073,462,155
-100.641787,37.533922,463,225
-100.632672,37.535737,468,212
-100.632648,37.624727,468,233
-100.59622,37.64116,476,161
-100.641617,37.73005,480,160
-100.641786,37.637421,482,158
-100.65071,37.735385,501,141
-100.62892,37.740076,513,94
-100.612161,37.646591,514,244
-100.650828,37.570299,537,231
-100.648465,37.664624,540,223
-100.650836,37.642863,545,
-100.593966,37.628423,545,222
-100.559742,37.612234,545,274
-100.65221,37.6317,581,266
-100.386476,37.81982,650,203
